Door Style,Product Category,Size,Handing,Jamb,Casing,Hinges,Current Lowe's Stock Item Number,Lowe's Pro Stock Item Number,Image,Item Description,Full Description
1 Panel Molded,Slab,24,No Bore,No Jamb,No Casing,No Hinges,5509342,1170119,images/1pShaker.jpg,PROW 24 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,28,No Bore,No Jamb,No Casing,No Hinges,5509353,1169232,images/1pShaker.jpg,PROW 28 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,30,No Bore,No Jamb,No Casing,No Hinges,5509346,1169259,images/1pShaker.jpg,PROW 30 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,32,No Bore,No Jamb,No Casing,No Hinges,5509338,1169276,images/1pShaker.jpg,PROW 32 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,36,No Bore,No Jamb,No Casing,No Hinges,5509336,1168731,images/1pShaker.jpg,PROW 36 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Bi-fold,24,No Bore,No Jamb,No Casing,No Hinges,5509337,1168793,,PROW 24 1P MLD HC Bi-Fold,1 Panel Flat Molded-Hollow core - Bi-fold
1 Panel Molded,Bi-fold,30,No Bore,No Jamb,No Casing,No Hinges,5509349,1170141,,PROW 30 1P MLD HC Bi-Fold,1 Panel Flat Molded-Hollow core - Bi-fold
1 Panel Molded,Bi-fold,36,No Bore,No Jamb,No Casing,No Hinges,5509343,1170126,,PROW 36 1P MLD HC Bi-Fold,1 Panel Flat Molded-Hollow core - Bi-fold
1 Panel Molded,Single Pre-hung,24,LH,Flat Jamb,No Casing,Black Hinges,5509473,1170066,,PROW 24 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,24,RH,Flat Jamb,No Casing,Black Hinges,5509448,1169407,,PROW 24 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,28,LH,Flat Jamb,No Casing,Black Hinges,5509441,1170129,,PROW 28 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,28,RH,Flat Jamb,No Casing,Black Hinges,5509446,1168738,,PROW 28 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,30,LH,Flat Jamb,No Casing,Black Hinges,5509474,1169429,,PROW 30 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,30,RH,Flat Jamb,No Casing,Black Hinges,5509476,1170120,,PROW 30 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,32,LH,Flat Jamb,No Casing,Black Hinges,5509352,1169263,,PROW 32 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,32,RH,Flat Jamb,No Casing,Black Hinges,5509466,1169508,,PROW 32 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,36,LH,Flat Jamb,No Casing,Black Hinges,5509468,1168730,,PROW 36 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,36,RH,Flat Jamb,No Casing,Black Hinges,5509459,1168776,,PROW 36 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,24,LH,Flat Jamb,453,Black Hinges,5509452,1169264,,PROW 24 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,24,RH,Flat Jamb,453,Black Hinges,5509471,1168794,,PROW 24 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,28,LH,Flat Jamb,453,Black Hinges,5509436,1168802,,PROW 28 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,28,RH,Flat Jamb,453,Black Hinges,5509440,1169253,,PROW 28 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,30,LH,Flat Jamb,453,Black Hinges,5509437,1170139,,PROW 30 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,30,RH,Flat Jamb,453,Black Hinges,5509470,1168771,,PROW 30 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,32,LH,Flat Jamb,453,Black Hinges,5509467,1168724,,PROW 32 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,32,RH,Flat Jamb,453,Black Hinges,5509462,1168773,,PROW 32 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,36,LH,Flat Jamb,453,Black Hinges,5509454,1168775,,PROW 36 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,36,RH,Flat Jamb,453,Black Hinges,5509445,1170140,,PROW 36 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Shaker,Single Pre-hung,24,LH,Flat Jamb,No Casing,Black Hinges,5509475,1170118,,PROW 24 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,24,RH,Flat Jamb,No Casing,Black Hinges,5509453,1168800,,PROW 24 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,28,LH,Flat Jamb,No Casing,Black Hinges,5509465,1169246,,PROW 28 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,28,RH,Flat Jamb,No Casing,Black Hinges,5509469,1168728,,PROW 28 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,30,LH,Flat Jamb,No Casing,Black Hinges,5509443,1170145,,PROW 30 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,30,RH,Flat Jamb,No Casing,Black Hinges,5509354,1168772,,PROW 30 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,32,LH,Flat Jamb,No Casing,Black Hinges,5509464,1169272,,PROW 32 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,32,RH,Flat Jamb,No Casing,Black Hinges,5509460,1169271,,PROW 32 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,36,LH,Flat Jamb,No Casing,Black Hinges,5509456,1170148,,PROW 36 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,36,RH,Flat Jamb,No Casing,Black Hinges,5509449,1170146,,PROW 36 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Molded,Bi-hinge (French Door),48,No Bore,Flat Jamb,No Casing,Black hinges with Ball catches,NA,5738377,,48 PRO 1P MLD-F HC PFJ BC BL NCSG,1 Panel Molded Flat Hollow core Bi-hinge-Flat Jamb - No casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),60,No Bore,Flat Jamb,No Casing,Black hinges with Ball catches,NA,5738376,,60 PRO IP MLD-FHC PFJ BC BL NCSG,1 Panel Molded Flat Hollow core Bi-hinge-Flat Jamb - No casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),72,No Bore,Flat Jamb,No Casing,Black hinges with Ball catches,NA,5738373,,72 PRO 1P MLD-FHC PFJ BC BL NCSG,1 Panel Molded Flat Hollow core Bi-hinge-Flat Jamb - No casing-Black hinges with Ball catches
1 Panel Shaker,Bi-hinge (French Door),48,No Bore,Flat Jamb,No Casing,Black Hinges,NA,5738327,,48 PRO 1P WSR-F PFJ BC BL NCSG,1 Panel Wood Stile and Rail-Solid core-Bi-hinge-Flat Jamb -No casing-with Ball catches - Black Hinges
1 Panel Shaker,Bi-hinge (French Door),60,No Bore,Flat Jamb,No Casing,Black Hinges,NA,5738326,,60 PRO 1P WSR-F PFJ BC BL NCSG,1 Panel Wood Stile and Rail-Solid core-Bi-hinge-Flat Jamb -No casing-with Ball catches - Black Hinges
1 Panel Shaker,Bi-hinge (French Door),72,No Bore,Flat Jamb,No Casing,Black Hinges,NA,5738325,,72 PRO 1P WSR-F PFJ BC BL NCSG,1 Panel Wood Stile and Rail-Solid core-Bi-hinge-Flat Jamb -No casing-with Ball catches - Black Hinges
1 Panel Molded,Bi-hinge (French Door),48,No Bore,Split Jamb,453,Black hinges with Ball catches,NA,5738378,,48 PRO 1P MLD-F HC PFJ BC BL 453,1 Panel Molded Flat Hollow core Bi-hinge-Split Jamb- 453 casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),60,No Bore,Split Jamb,453,Black hinges with Ball catches,NA,5738375,,60 PRO 1P MLD-F HC PFJ BC BL 453,1 Panel Molded Flat Hollow core Bi-hinge-Split Jamb- 453 casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),72,No Bore,Split Jamb,453,Black hinges with Ball catches,NA,5738374,,72 PRO 1P MLD-F HC PFJ BC BL 453,1 Panel Molded Flat Hollow core Bi-hinge-Split Jamb- 453 casing-Black hinges with Ball catches
1 Panel Shaker,Slab,24,No Bore,Wood Style & Rail,No Casing,No Hinges,5510789,1168796,,PROW 24 1P WSR No BORE SLAB,1 Panel Shaker Wood Style and Rail-Solid Core Slab
1 Panel Shaker,Slab,28,No Bore,Wood Style & Rail,No Casing,No Hinges,5510791,1168805,,PROW 28 1P WSR NO BORE SLAB,1 Panel Shaker Wood Style and Rail-Solid Core Slab
1 Panel Shaker,Slab,30,No Bore,Wood Style & Rail,No Casing,No Hinges,5510790,1169268,,PROW 30 1P WSR No BORE SLAB,1 Panel Shaker Wood Style and Rail-Solid Core Slab
1 Panel Shaker,Slab,32,No Bore,Wood Style & Rail,No Casing,No Hinges,5510793,1168727,,PROW 32 1P WSR NO BORE SLAB,1 Panel Shaker Wood Style and Rail-Solid Core Slab
1 Panel Shaker,Slab,36,No Bore,Wood Style & Rail,No Casing,No Hinges,5510792,1170065,,PROW 36 1P WSR No BORE SLAB,1 Panel Shaker Wood Style and Rail-Solid Core Slab
2 Panel Round Top Molded,Single Pre-hung,24,RH,Split Jamb,376,Nickel Hinges,5690010,5731101,,24 PRO 2P RND TOP SM HC RH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,24,LH,Split Jamb,376,Nickel Hinges,5690017,5731120,,24 PRO 2P RND TOP SM HC LH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,RH,Split Jamb,376,Nickel Hinges,5690022,5731100,,28 PRO 2P RND TOP SM HC RH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,LH,Split Jamb,376,Nickel Hinges,5690018,5731107,,28 PRO 2P RND TOP SM HC LH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,RH,Split Jamb,376,Nickel Hinges,5690008,5731116,,30 PRO 2P RND TOP SM HC RH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,LH,Split Jamb,376,Nickel Hinges,5690015,5731093,,30 PRO 2P RND TOP SM HC LH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,RH,Split Jamb,376,Nickel Hinges,5690016,5731103,,32 PRO 2P RND TOP SM HC RH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,LH,Split Jamb,376,Nickel Hinges,5690023,5731109,,32 PRO 2P RND TOP SM HC LH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,RH,Split Jamb,376,Nickel Hinges,5690020,5731097,,36 PRO 2P RND TOP SM HC RH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,LH,Split Jamb,376,Nickel Hinges,5690025,5731098,,36 PRO 2P RND TOP SM HC LH 376NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-376 casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),48,No Bore,Split Jamb,445,Nickel Hinges,NA,5738372,,48 PRO 2PRT MLD HC PFJ BC NK 445,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-445 casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),60,No Bore,Split Jamb,445,Nickel Hinges,NA,5738371,,60 PRO 2PRT MLD HC PFJ BC NK 445,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-445 casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),72,No Bore,Split Jamb,445,Nickel Hinges,NA,5738369,,72 PRO 2PRT MLD HC PFJ BC NK 445,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-445 casing-nickel hinges
2 Panel Round Top Molded,Slab,24,No Bore,No Jamb,No Casing,No Hinges,5675142,5731082,,24 PRO 2P RD TOP SM HC 1-3/8,2 Panel Round Top Molded-Hollow core-slab
2 Panel Round Top Molded,Slab,28,No Bore,No Jamb,No Casing,No Hinges,5675144,5731072,,28 PRO 2P RD TOP SM HC 1-3/8,2 Panel Round Top Molded-Hollow core-slab
2 Panel Round Top Molded,Slab,30,No Bore,No Jamb,No Casing,No Hinges,5731064,5675152,,30 PRO 2P RD TOP SM HC 1-3/8,2 Panel Round Top Molded-Hollow core-slab
2 Panel Round Top Molded,Slab,32,No Bore,No Jamb,No Casing,No Hinges,5731114,5675151,,32 PRO 2P RD TOP SM HC 1-3/8,2 Panel Round Top Molded-Hollow core-slab
2 Panel Round Top Molded,Slab,36,No Bore,No Jamb,No Casing,No Hinges,5675154,5731066,,36 PRO 2P RD TOP SM HC 1-3/8,2 Panel Round Top Molded-Hollow core-slab
2 Panel Round Top Molded,Single Pre-hung,24,RH,Split Jamb,445,Nickel Hinges,5690011,5731092,,24 PRO 2P RND TOP SM HC RH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,24,LH,Split Jamb,445,Nickel Hinges,5690009,5731084,,24 PRO 2P RND TOP SM HC LH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,RH,Split Jamb,445,Nickel Hinges,5690006,5731106,,28 PRO 2P RND TOP SM HC RH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,LH,Split Jamb,445,Nickel Hinges,5690003,5731096,,28 PRO 2P RND TOP SM HC LH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,RH,Split Jamb,445,Nickel Hinges,5690005,5731089,,30 PRO 2P RND TOP SM HC RH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,LH,Split Jamb,445,Nickel Hinges,5690004,5731111,,30 PRO 2P RND TOP SM HC LH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,RH,Split Jamb,445,Nickel Hinges,5690007,5731077,,32 PRO 2P RND TOP SM HC RH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,LH,Split Jamb,445,Nickel Hinges,5690013,5731094,,32 PRO 2P RND TOP SM HC LH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,RH,Split Jamb,445,Nickel Hinges,5690012,5731085,,36 PRO 2P RND TOP SM HC RH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,LH,Split Jamb,445,Nickel Hinges,5690014,5731081,,36 PRO 2P RND TOP SM HC LH 445NK,2 Panel Round Top Molded - Hollow Core - Single pre-hung- Split Jamb-445 casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,24,RH,Flat Jamb,No Casing,Nickel Hinges,5675133,5731073,,24 PRO 2PNL RDTP SM RH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,24,LH,Flat Jamb,No Casing,Nickel Hinges,5675138,5731068,,24 PRO 2PNL RDTP SM LH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,RH,Flat Jamb,No Casing,Nickel Hinges,5675139,5731065,,28 PRO 2PNL RDTP SM RH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,LH,Flat Jamb,No Casing,Nickel Hinges,5675143,5731091,,28 PRO 2PNL RDTP SM LH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,RH,Flat Jamb,No Casing,Nickel Hinges,5675140,5731110,,30 PRO 2PNL RDTP SM RH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,LH,Flat Jamb,No Casing,Nickel Hinges,5675146,5731071,,30 PRO 2PNL RDTP SM LH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,RH,Flat Jamb,No Casing,Nickel Hinges,5675141,5731090,,32 PRO 2PNL RDTP SM RH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,LH,Flat Jamb,No Casing,Nickel Hinges,5675145,5731076,,32 PRO 2PNL RDTP SM LH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,RH,Flat Jamb,No Casing,Nickel Hinges,5675148,5731067,,36 PRO 2PNL RDTP SM RH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,LH,Flat Jamb,No Casing,Nickel Hinges,5675147,5731115,,36 PRO 2PNL RDTP SM LH PFJ NCSGNK,2 Panel Round Top Molded-Hollow core - Single pre-hung- Flat Jamb-no casing - nickel hinges
2 Panel Round Top Molded,Bi-fold,24,No Bore,No Jamb,No Casing,No Hinges,5675149,5731088,,24 PRO 2P RD TOP SM HC BF 2DR,2 Panel Round Top - Hollow core-Molded-Bi-fold
2 Panel Round Top Molded,Bi-fold,30,No Bore,No Jamb,No Casing,No Hinges,5675155,5731087,,30 PRO 2P RD TOP SM HC BF 2DR,2 Panel Round Top - Hollow core-Molded-Bi-fold
2 Panel Round Top Molded,Bi-fold,36,No Bore,No Jamb,No Casing,No Hinges,5675150,5731079,,36 PRO 2P RD TOP SM HC BF 2DR,2 Panel Round Top - Hollow core-Molded-Bi-fold
2 Panel Round Top Molded,Bi-hinge (French Door),48,No Bore,No Jamb,No Casing,Nickel Hinges,NA,5738361,,48 PRO 2PRT MLD HC PFJ BC NK NCSG,2 Panel Round Top Molded - Hollow core-Bi-hinge - Flat Jamb-with Ball catches-no casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),60,No Bore,No Jamb,No Casing,Nickel Hinges,NA,5738358,,60 PRO 2PRT MLD HC PFJ BC NK NCSG,2 Panel Round Top Molded - Hollow core-Bi-hinge - Flat Jamb-with Ball catches-no casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),72,No Bore,No Jamb,No Casing,Nickel Hinges,NA,5738359,,72 PRO 2PRT MLD HC PFJ BC NK NCSG,2 Panel Round Top Molded - Hollow core-Bi-hinge - Flat Jamb-with Ball catches-no casing-nickel hinges
2 Panel Round Top Molded,Single Pre-hung,24,RH,Split Jamb,356,Nickel Hinges,5690032,5731118,,24 PRO 2P RD TOP SM HC RH 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,24,LH,Split Jamb,356,Nickel Hinges,5690033,5731334,,24 PRO 2P RD TOP SM HC LH 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,RH,Split Jamb,356,Nickel Hinges,5690035,5731104,,28 PRO 2P RD TOP SM HC RH 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,28,LH,Split Jamb,356,Nickel Hinges,5690037,5731074,,28 PRO 2P RD TOP SM HC LH 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,RH,Split Jamb,356,Nickel Hinges,5690038,5731108,,30 PRO 2P RD TOP SM HC RH 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,30,LH,Split Jamb,356,Nickel Hinges,5690036,5731078,,30 PRO 2P RD TOP SM HC LH 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,RH,Split Jamb,356,Nickel Hinges,5690039,5731070,,32 PRO 2P RD TOP SM RH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,LH,Split Jamb,356,Nickel Hinges,5690041,5731112,,32 PRO 2P RD TOP SM LH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,RH,Split Jamb,356,Nickel Hinges,5690042,5731102,,36 PRO 2P RD TOP SM RH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
