Door Style,Product Category,Size,Handing,Jamb,Casing,Hinges,Current Lowe's Stock Item Number,Lowe's Pro Stock Item Number,Image,Item Description,Full Description
2 Panel Round Top Molded,Single Pre-hung,36,LH,Split Jamb,356,Nickel Hinges,5690040,5731075,,36 PRO 2P RD TOP SM LH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),48,No Bore,Split Jamb,356,Nickel Hinges,NA,5738365,,48 PRO 2PRT MLD HC PFJ BC NK 356,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-356 casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),60,No Bore,Split Jamb,356,Nickel Hinges,NA,5738362,,60 PRO 2PRT MLD HC PFJ BC NK 356,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-356 casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),72,No Bore,Split Jamb,356,Nickel Hinges,NA,5738360,,72 PRO 2PRT MLD HC PFJ BC NK 356,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-356 casing-nickel hinges
2 Panel Square Flat,Slab,24,No Bore,No Jamb,No Casing,No Hinges,794063,1101955,,24 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
2 Panel Square Flat,Slab,28,No Bore,No Jamb,No Casing,No Hinges,794064,1101956,,28 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
2 Panel Square Flat,Slab,30,No Bore,No Jamb,No Casing,No Hinges,794065,1101957,,30 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
2 Panel Square Flat,Slab,32,No Bore,No Jamb,No Casing,No Hinges,794066,1101958,,32 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
2 Panel Square Flat,Slab,36,No Bore,No Jamb,No Casing,No Hinges,794067,1101959,,36 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
2 Panel Square Flat,Bi-fold,24,No Bore,No Jamb,No Casing,No Hinges,794068,1101679,,24 PRO 2PSQ RB MLD-F SM HC 2DR BF,2 Panel Square Flat-Hollow core-Molded-Bi-fold
2 Panel Square Flat,Bi-fold,30,No Bore,No Jamb,No Casing,No Hinges,794069,1101680,,30 PRO 2PSQ RB MLD-F SM HC 2DR BF,2 Panel Square Flat-Hollow core-Molded-Bi-fold
2 Panel Square Flat,Bi-fold,36,No Bore,No Jamb,No Casing,No Hinges,794070,1101681,,36 PRO 2PSQ RB MLD-F SM HC 2DR BF,2 Panel Square Flat-Hollow core-Molded-Bi-fold
2 Panel Square Raised Panel,Slab,24,No Bore,No Jamb,No Casing,No Hinges,5675162,1170125,,PROW 24 2PSQ MLD SM HC SLAB,2 Panel Square Raised Panel-Hollow core-Molded-slab
2 Panel Square Raised Panel,Slab,28,No Bore,No Jamb,No Casing,No Hinges,5675171,1169270,,PROW 28 2PSQ MLD SM HC SLAB,2 Panel Square Raised Panel-Hollow core-Molded-slab
2 Panel Square Raised Panel,Slab,30,No Bore,No Jamb,No Casing,No Hinges,5675169,1169262,,PROW 30 2PSQ MLD SM HC SLAB,2 Panel Square Raised Panel-Hollow core-Molded-slab
2 Panel Square Raised Panel,Slab,32,No Bore,No Jamb,No Casing,No Hinges,5675166,1170128,,PROW 32 2PSQ MLD SM HC SLAB,2 Panel Square Raised Panel-Hollow core-Molded-slab
2 Panel Square Raised Panel,Slab,36,No Bore,No Jamb,No Casing,No Hinges,5675172,1170123,,PROW 36 2PSQ MLD SM HC SLAB,2 Panel Square Raised Panel-Hollow core-Molded-slab
2 Panel Round Top Plank,Single Pre-hung,24,RH,Split Jamb,356,Nickel Hinges,244850,6035825,,24 PRO 2P RD SM PLK RH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,24,LH,Split Jamb,356,Nickel Hinges,244852,1101800,,24 PRO 2P RD SM PLK LH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,28,RH,Split Jamb,356,Nickel Hinges,244854,6035827,,28 PRO 2P RD SM PLK RH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,28,LH,Split Jamb,356,Nickel Hinges,244856,6035830,,28 PRO 2P RD SM PLK LH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,30,RH,Split Jamb,356,Nickel Hinges,244857,1101803,,30 PRO 2P RD SM PLK RH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,30,LH,Split Jamb,356,Nickel Hinges,244858,1101804,,30 PRO 2P RD SM PLK LH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,32,RH,Split Jamb,356,Nickel Hinges,244859,6035833,,32 PRO 2P RD SM PLK RH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,32,LH,Split Jamb,356,Nickel Hinges,244860,6035835,,32 PRO 2P RD SM PLK LH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,36,RH,Split Jamb,356,Nickel Hinges,244861,6035837,,36 PRO 2P RD SM PLK RH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,36,LH,Split Jamb,356,Nickel Hinges,244862,1101808,,36 PRO 2P RD SM PLK LH PFJ/NK 356,2 Panel Round Top Plank-Hollow core-Molded - Split Jamb -356 casing-nickel hinges
2 Panel Square Raised Panel,Bi-fold,24,No Bore,No Jamb,No Casing,No Hinges,5675161,1101676,,24 PRO 2PSQ RB MLD SM HC 2DR BF,2 Panel Square Raised Panel - Hollow core-Molded-Bi-fold
2 Panel Square Raised Panel,Bi-fold,30,No Bore,No Jamb,No Casing,No Hinges,5675163,1101677,,30 PRO 2PSQ RB MLD SM HC 2DR BF,2 Panel Square Raised Panel - Hollow core-Molded-Bi-fold
2 Panel Square Raised Panel,Bi-fold,36,No Bore,No Jamb,No Casing,No Hinges,5675167,1101678,,36 PRO 2PSQ RB MLD SM HC 2DR BF,2 Panel Square Raised Panel - Hollow core-Molded-Bi-fold
2 Panel Round Top Plank,Bi-hinge (French Door),48,No Bore,No Jamb,No Casing,Nickel Hinges with Ball catches,NA,5738356,,48 PRO 2PRTPLK MLD PFJ BC NK NCSG,2 Panel Round Top Plank Hollow Core Molded-Bi-hinge- Flat Jamb-No casing-Ball catches - nickel hinges
2 Panel Round Top Plank,Bi-hinge (French Door),60,No Bore,No Jamb,No Casing,Nickel Hinges with Ball catches,NA,5738354,,60 PRO 2PRTPLK MLD PFJ BC NK NCSG,2 Panel Round Top Plank Hollow Core Molded-Bi-hinge- Flat Jamb-No casing-Ball catches - nickel hinges
2 Panel Round Top Plank,Bi-hinge (French Door),72,No Bore,No Jamb,No Casing,Nickel Hinges with Ball catches,NA,5738357,,72 PRO 2PRTPLK MLD PFJ BC NK NCSG,2 Panel Round Top Plank Hollow Core Molded-Bi-hinge- Flat Jamb-No casing-Ball catches - nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,24,RH,Split Jamb,356,Nickel Hinges,271130,6035840,,24 PRO 2PNL SQ MLD UT RH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,24,LH,Split Jamb,356,Nickel Hinges,271132,6035842,,24 PRO 2PNL SQ MLD UT LH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,28,RH,Split Jamb,356,Nickel Hinges,271134,6035845,,28 PRO 2PNL SQ MLD UT RH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,28,LH,Split Jamb,356,Nickel Hinges,271136,6035848,,28 PRO 2PNL SQ MLD UT LH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,30,RH,Split Jamb,356,Nickel Hinges,271138,6035850,,30 PRO 2PNL SQ MLD UT RH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,30,LH,Split Jamb,356,Nickel Hinges,271140,6035852,,30 PRO 2PNL SQ MLD UT LH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,32,RH,Split Jamb,356,Nickel Hinges,271142,6035855,,32 PRO 2PNL SQ MLD UT RH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,32,LH,Split Jamb,356,Nickel Hinges,271143,6035858,,32 PRO 2PNL SQ MLD UT LH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,36,RH,Split Jamb,356,Nickel Hinges,271145,1101817,,36 PRO 2PNL SQ MLD UT RH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,36,LH,Split Jamb,356,Nickel Hinges,271147,1101818,,36 PRO 2PNL SQ MLD UT LH PFJ/NK 356,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-356 casing-nickel hinges
2 Panel Round Top Plank,Bi-hinge (French Door),48,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738352,,48 PRO 2PRTPLK MLD PFJ BC NK 356,2 Panel Round Top Plank Hollow Core Molded-Bi-hinge- Split Jamb-356 casing-Ball catches-nickel hinges
2 Panel Round Top Plank,Bi-hinge (French Door),60,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738355,,60 PRO 2PRTPLK MLD PFJ BC NK 356,2 Panel Round Top Plank Hollow Core Molded-Bi-hinge- Split Jamb-356 casing-Ball catches-nickel hinges
2 Panel Round Top Plank,Bi-hinge (French Door),72,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738350,,72 PRO 2PRTPLK MLD PFJ BC NK 356,2 Panel Round Top Plank Hollow Core Molded-Bi-hinge- Split Jamb-356 casing-Ball catches-nickel hinges
2 Panel Round Top Plank,Slab,24,No Bore,No Jamb,No Casing,No Hinges,5675158,1101943,,24 PRO 2P RD SM PLNK 1-3/8 SLAB,2 Panel Round Top Plank Hollow core Molded - Slab
2 Panel Round Top Plank,Slab,28,No Bore,No Jamb,No Casing,No Hinges,5675164,1101944,,28 PRO 2P RD SM PLNK 1-3/8 SLAB,2 Panel Round Top Plank Hollow core Molded - Slab
2 Panel Round Top Plank,Slab,30,No Bore,No Jamb,No Casing,No Hinges,5675160,1101945,,30 PRO 2P RD SM PLNK 1-3/8 SLAB,2 Panel Round Top Plank Hollow core Molded - Slab
2 Panel Round Top Plank,Slab,32,No Bore,No Jamb,No Casing,No Hinges,5675165,1101946,,32 PRO 2P RD SM PLNK 1-3/8 SLAB,2 Panel Round Top Plank Hollow core Molded - Slab
2 Panel Round Top Plank,Slab,36,No Bore,No Jamb,No Casing,No Hinges,5675159,1101947,,36 PRO 2P RD SM PLNK 1-3/8 SLAB,2 Panel Round Top Plank Hollow core Molded - Slab
2 Panel Square Raised Panel,Single Pre-hung,24,RH,Split Jamb,366,Nickel Hinges,5509359,1168803,,PROW 24 2P SQ MLD HC RH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,24,LH,Split Jamb,366,Nickel Hinges,5509356,1169266,,PROW 24 2P SQ MLD HC LH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,28,RH,Split Jamb,366,Nickel Hinges,5509366,1169403,,PROW 28 2P SQ MLD HC RH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,28,LH,Split Jamb,366,Nickel Hinges,5509371,1168806,,PROW 28 2P SQ MLD HC LH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,30,RH,Split Jamb,366,Nickel Hinges,5509360,1170142,,PROW 30 2P SQ MLD HC RH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,30,LH,Split Jamb,366,Nickel Hinges,5509358,1169247,,PROW 30 2P SQ MLD HC LH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,32,RH,Split Jamb,366,Nickel Hinges,5509367,1169404,,PROW 32 2P SQ MLD HC RH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,32,LH,Split Jamb,366,Nickel Hinges,5509363,1168791,,PROW 32 2P SQ MLD HC LH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,36,RH,Split Jamb,366,Nickel Hinges,5509375,1168732,,PROW 36 2P SO MLD HC RH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Square Raised Panel,Single Pre-hung,36,LH,Split Jamb,366,Nickel Hinges,5509368,1170127,,PROW 36 2P SQ MLD HC LH PFJ 366 NK,2 Panel Square Raised Panel - Molded-Hollow core - Single pre-hung-Split Jamb-366 casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,24,RH,Flat Jamb,No Casing,Nickel Hinges,5675124,6035807,,24 PRO 2PNL RD PLNK RH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,24,LH,Flat Jamb,No Casing,Nickel Hinges,5675127,6035809,,24 PRO 2PNL RD PLNK LH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,28,RH,Flat Jamb,No Casing,Nickel Hinges,5675131,6035811,,28 PRO 2PNL RD PLNK RH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,28,LH,Flat Jamb,No Casing,Nickel Hinges,5675130,6035813,,28 PRO 2PNL RD PLNK LH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,30,RH,Flat Jamb,No Casing,Nickel Hinges,5675134,6035815,,30 PRO 2PNL RD PLNK RH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,30,LH,Flat Jamb,No Casing,Nickel Hinges,5675135,6035817,,30 PRO 2PNL RD PLNK LH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,32,RH,Flat Jamb,No Casing,Nickel Hinges,5675136,6035819,,32 PRO 2PNL RD PLNK RH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,32,LH,Flat Jamb,No Casing,Nickel Hinges,5675132,6035821,,32 PRO 2PNL RD PLNK LH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,36,RH,Flat Jamb,No Casing,Nickel Hinges,5675129,6035823,,36 PRO 2PNL RD PLNK RH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Single Pre-hung,36,LH,Flat Jamb,No Casing,Nickel Hinges,5675137,1101774,,36 PRO 2PNL RD PLNK LH NO CSNGNK,2 Panel Round Top Plank - Hollow core - Molded-Flat Jamb- no casing-nickel hinges
2 Panel Round Top Plank,Bi-fold,24,No Bore,No Jamb,No Casing,No Hinges,5675156,1101673,,24 PRO 2P RD PLNK SM HC BIFLD 2DR,2 Panel Round Top Plank Hollow core Molded-Bi-fold
2 Panel Round Top Plank,Bi-fold,30,No Bore,No Jamb,No Casing,No Hinges,5675153,1101674,,30 PRO 2P RD PLNK SM HC BIFLD 2DR,2 Panel Round Top Plank Hollow core Molded-Bi-fold
2 Panel Round Top Plank,Bi-fold,36,No Bore,No Jamb,No Casing,No Hinges,5675157,1101675,,36 PRO 2P RD PLNK SM HC BIFLD 2DR,2 Panel Round Top Plank Hollow core Molded-Bi-fold
2 Panel Square Raised Panel,Bi-hinge (French Door),48,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738351,,48 PRO 2PSQ MLD HC PFJ BC NK 356,2 Panel Square Raised Panel-Molded-Hollow core-Bi- hinge-Split Jamb-356 casing-Ball catches - nickel hinges
2 Panel Square Raised Panel,Bi-hinge (French Door),60,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738353,,60 PRO 2PSQ MLD HC PFJ BC NK 356,2 Panel Square Raised Panel-Molded-Hollow core-Bi- hinge-Split Jamb-356 casing-Ball catches - nickel hinges
2 Panel Square Raised Panel,Bi-hinge (French Door),72,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738349,,72 PRO 2PSQ MLD HC PFJ BC NK 356,2 Panel Square Raised Panel-Molded-Hollow core-Bi- hinge-Split Jamb-356 casing-Ball catches - nickel hinges
2 Panel Square Raised Panel,Bi-hinge (French Door),48,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738348,,48 PRO 2PSQ MLD HC PFJ BC NK 366,2 Panel Square Raised Panel - Molded-Hollow core-Bi- hinge-Split Jamb-366 casing-Ball catches - nickel hinges
2 Panel Square Raised Panel,Bi-hinge (French Door),60,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738347,,60 PRO 2PSQ MLD HC PFJ BC NK 366,2 Panel Square Raised Panel - Molded-Hollow core-Bi- hinge-Split Jamb-366 casing-Ball catches - nickel hinges
2 Panel Square Raised Panel,Bi-hinge (French Door),72,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738346,,72 PRO 2PSQ MLD HC PFJ BC NK 366,2 Panel Square Raised Panel - Molded-Hollow core-Bi- hinge-Split Jamb-366 casing-Ball catches - nickel hinges
3 Panel Craftsman Flat,Slab,24,No Bore,No Jamb,No Casing,No Hinges,5675182,1101960,,24 PRO INT 3PNL CRAFTSMAN SLAB,3 Panel Craftsman Flat-Hollow core-Molded-slab
3 Panel Craftsman Flat,Slab,28,No Bore,No Jamb,No Casing,No Hinges,5675185,1101961,,28 PRO INT 3PNL CRAFTSMAN SLAB,3 Panel Craftsman Flat-Hollow core-Molded-slab
3 Panel Craftsman Flat,Slab,30,No Bore,No Jamb,No Casing,No Hinges,5675186,1101962,,30 PRO INT 3PNL CRAFTSMAN SLAB,3 Panel Craftsman Flat-Hollow core-Molded-slab
3 Panel Craftsman Flat,Slab,32,No Bore,No Jamb,No Casing,No Hinges,5675180,1101963,,32 PRO INT 3PNL CRAFTSMAN SLAB,3 Panel Craftsman Flat-Hollow core-Molded-slab
3 Panel Craftsman Flat,Slab,36,No Bore,No Jamb,No Casing,No Hinges,5675183,1101964,,36 PRO INT 3PNL CRAFTSMAN SLAB,3 Panel Craftsman Flat-Hollow core-Molded-slab
5 Panel Raised,Single Pre-hung,24,RH,Split Jamb,376,Nickel Hinges,5509400,1169243,,PROW 24 5P MLD HC RH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,24,LH,Split Jamb,376,Nickel Hinges,5509384,1169267,,PROW 24 5P MLD HC LH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,28,RH,Split Jamb,376,Nickel Hinges,5509387,1170124,,PROW 28 5P MLD HC RH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,28,LH,Split Jamb,376,Nickel Hinges,5509391,1169239,,PROW 28 5P MLD HC LH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,30,RH,Split Jamb,376,Nickel Hinges,5509396,1169255,,PROW 30 5P MLD HC RH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,24,LH,Split Jamb,376,Nickel Hinges,5509388,1170138,,PROW 30 5P MLD HC LH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,32,RH,Split Jamb,376,Nickel Hinges,5509393,1169408,,PROW 32 5P MLD HC RH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,32,LH,Split Jamb,376,Nickel Hinges,5509389,1170115,,PROW 32 5P MLD HC LH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,36,RH,Split Jamb,376,Nickel Hinges,5509392,1168778,,PROW 36 5P MLD HC RH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
5 Panel Raised,Single Pre-hung,36,LH,Split Jamb,376,Nickel Hinges,5509406,1169242,,PROW 36 5P MLD HC LH PFJ 376 NK,5 Panel Raised-Hollow core-Molded-Split Jamb-376 casing-nickel hinges
3 Panel Craftsman Flat,Bi-fold,24,No Bore,No Jamb,No Casing,No Hinges,386662,1101682,,24 PRO 3PNL CRAFTSMAN SM BIFOLD,3 Panel Craftsman Flat - Hollow core-Molded-Bi-fold
3 Panel Craftsman Flat,Bi-fold,30,No Bore,No Jamb,No Casing,No Hinges,386664,1101683,,30 PRO 3PNL CRAFTSMAN SM BIFOLD,3 Panel Craftsman Flat - Hollow core-Molded-Bi-fold
3 Panel Craftsman Flat,Bi-fold,36,No Bore,No Jamb,No Casing,No Hinges,386666,1101684,,36 PRO 3PNL CRAFTSMAN SM BIFOLD,3 Panel Craftsman Flat - Hollow core-Molded-Bi-fold
5 Panel Raised,Bi-hinge (French Door),48,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738330,,48 PRO 5P MLD RP PFJ BC NK 356,5 Panel Raised-Molded-Hollow core-Bi-hinge-Split Jamb-356 casing-Ball catches-nickel hinges
5 Panel Raised,Bi-hinge (French Door),60,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738333,,60 PRO 5P MLD RP PFJ BC NK 356,5 Panel Raised-Molded-Hollow core-Bi-hinge-Split Jamb-356 casing-Ball catches-nickel hinges
5 Panel Raised,Bi-hinge (French Door),72,No Bore,Split Jamb,356,Nickel Hinges with Ball catches,NA,5738332,,72 PRO 5P MLD RP PFJ BC NK 356,5 Panel Raised-Molded-Hollow core-Bi-hinge-Split Jamb-356 casing-Ball catches-nickel hinges
3 Panel Craftsman Flat,Single Pre-hung,24,RH,Flat Jamb,No Casing,Nickel Hinges,5675173,6035912,,24 PRO 3PNL CRFT SM UT RH FLTNK,3 Panel Craftsman Flat-Molded-Hollow core - Single pre- hung-Flat Jamb no casing-nickel hinges
3 Panel Craftsman Flat,Single Pre-hung,24,LH,Flat Jamb,No Casing,Nickel Hinges,5675176,1101919,,24 PRO 3PNL CRFT SM UT LH FLTNK,3 Panel Craftsman Flat-Molded-Hollow core - Single pre- hung-Flat Jamb no casing-nickel hinges
3 Panel Craftsman Flat,Single Pre-hung,28,RH,Flat Jamb,No Casing,Nickel Hinges,5675168,6035914,,28 PRO 3PNL CRFT SM UT RH FLTNK,3 Panel Craftsman Flat-Molded-Hollow core - Single pre- hung-Flat Jamb no casing-nickel hinges
